head	relation	tail
DB01454	targets	P31645
DB00744	targets	P08684
DB00108	targets	P02745
DB01424	targets	P10632
DB04216	targets	P06576
DB01224	targets	P35462
DB00112	targets	P31995
DB01365	targets	P35368
DB00200	targets	P22033
DB00696	targets	P25100
DB04922	targets	Q9NY47
DB07494	targets	Q494W8
DB08385	targets	O00519
DB07020	targets	P45984
DB03758	targets	Q15120
DB06147	targets	P11511
DB01095	targets	P10635
DB00114	targets	P34896
DB00439	targets	P08684
DB05096	targets	Q14832
DB06637	targets	Q9UK17
DB01085	targets	P08172
DB03179	targets	Q86VU5
DB06678	targets	P28335
DB03088	targets	P15692
DB03757	targets	Q9UNI1
DB00854	targets	P35372
DB00338	targets	P33261
DB08697	targets	P00749
DB00458	targets	P23975
DB00945	targets	Q04828
DB03033	targets	P08254
DB00812	targets	P35354
DB06871	targets	P03372
DB07934	targets	P00734
DB00622	targets	P20813
DB02726	targets	P14618
DB00182	targets	P08588
DB00613	targets	P10632
DB00934	targets	P18089
DB06605	targets	P11712
DB07374	targets	P61313
DB00169	targets	P11473
DB00575	targets	P18089
DB07347	targets	P04406
DB06016	targets	P08908
DB06866	targets	P00734
DB05207	targets	P14778
DB01403	targets	P35462
DB04400	targets	P00439
DB06858	targets	P07477
DB00174	targets	O43776
DB00155	targets	P29475
DB06695	targets	P54855
DB06678	targets	P28223
DB00289	targets	Q12879
DB01324	targets	P55017
DB06944	targets	P24941
DB00114	targets	Q9NVS9
DB00157	targets	O75306
DB00655	targets	P08684
DB05424	targets	P00533
DB01026	targets	P10632
DB01695	targets	P60174
DB00852	targets	P07550
DB00143	targets	Q03013
DB00594	targets	P19801
DB07680	targets	P23946
DB00157	targets	O95182
DB07388	targets	P29474
DB00670	targets	P11229
DB01102	targets	P13945
DB01207	targets	P21731
DB00126	targets	P19021
DB08846	targets	P05771
DB00734	targets	P35367
DB00824	targets	Q07343
DB00683	targets	P20815
DB01954	targets	Q08499
DB00661	targets	O00305
DB04841	targets	P11712
DB00268	targets	P28221
DB00659	targets	Q14957
DB03760	targets	Q15120
DB09026	targets	P00797
DB01708	targets	O75469
DB06216	targets	P35367
DB01049	targets	P78334
DB00849	targets	P34903
DB01018	targets	P18089
DB07390	targets	P08254
DB00313	targets	P10632
DB00411	targets	Q15822
DB00086	targets	P25116
DB00200	targets	Q9BXJ7
DB04820	targets	P27338
DB01622	targets	P35348
DB01483	targets	P14867
DB07701	targets	P22303
DB00167	targets	Q9NSE4
DB00318	targets	P24462
DB07080	targets	O75469
DB00157	targets	P04035
DB00889	targets	P20815
DB09053	targets	P08684
DB06069	targets	P11387
DB00543	targets	P18825
DB07427	targets	P69905
DB00830	targets	Q01959
DB00598	targets	P08588
DB04395	targets	P06239
DB01049	targets	P46098
DB02494	targets	P62829
DB04574	targets	P05177
DB02264	targets	P05230
DB00825	targets	Q8NET8
DB01620	targets	P35367
DB04006	targets	P24941
DB06844	targets	P20248
DB00408	targets	P08912
DB01029	targets	P10632
DB01024	targets	P22309
DB01122	targets	P22303
DB04836	targets	P23975
DB03130	targets	Q04760
DB06216	targets	P18825
DB07621	targets	P11509
DB00197	targets	P54855
DB03101	targets	P00491
DB03461	targets	P11413
DB01151	targets	P18089
DB06616	targets	P08684
DB06931	targets	O95749
DB04234	targets	P43235
DB01011	targets	P15538
DB00075	targets	P02747
DB01548	targets	O60858
DB07167	targets	P07333
DB04604	targets	Q8TF76
DB00540	targets	P28223
DB07344	targets	Q8IVS2
DB02796	targets	P00491
DB01424	targets	P24462
DB04369	targets	P35030
DB05290	targets	P25101
DB08354	targets	P68400
DB04855	targets	O95069
DB08515	targets	P25789
DB07107	targets	P17612
DB01643	targets	P04818
DB07765	targets	P0CG22
DB00016	targets	P19235
DB00371	targets	Q9UN88
DB07468	targets	Q7Z406
DB00343	targets	P10635
DB00675	targets	Q05655
DB03329	targets	P07858
DB01942	targets	Q9NQX3
DB04534	targets	P29474
DB02638	targets	P47901
DB04920	targets	Q13698
DB01198	targets	P08684
DB00296	targets	Q9Y5Y9
DB00729	targets	P20309
DB01221	targets	P30939
DB00952	targets	P28222
DB09082	targets	P08684
DB00153	targets	Q02318
DB00767	targets	P20309
DB02400	targets	P15559
DB03206	targets	Q9UKM7
DB01049	targets	P35348
DB02800	targets	P34896
DB04530	targets	Q99418
DB00583	targets	P23786
DB07987	targets	P08254
DB00794	targets	P28472
DB00176	targets	P31645
DB00979	targets	P06276
DB07375	targets	P06310
DB06594	targets	P05177
DB00031	targets	P02671
DB00195	targets	P07550
DB02010	targets	P48736
DB05107	targets	P11413
DB04147	targets	P01595
DB00041	targets	P14784
DB00514	targets	P04839
DB01171	targets	P11712
DB00087	targets	P02746
DB01496	targets	P31644
DB00468	targets	P33261
DB00543	targets	P28472
DB01142	targets	P08684
DB00905	targets	P43115
DB02640	targets	P50579
DB01039	targets	P08684
DB02648	targets	P43155
DB00025	targets	P07307
DB00496	targets	P11229
DB01834	targets	P09211
DB03742	targets	P03372
DB08690	targets	O14957
DB04464	targets	P15954
DB00945	targets	Q9Y478
DB09078	targets	P35916
DB06603	targets	Q9UQL6
DB00996	targets	Q9NY47
DB04871	targets	P28335
DB00558	targets	Q9Y3R4
DB03575	targets	Q8TCU5
DB01196	targets	P11137
DB00482	targets	P35354
DB00169	targets	Q02318
DB00624	targets	P04798
DB05736	targets	P43235
DB00961	targets	Q9Y5Y9
DB00402	targets	Q9UN88
DB01611	targets	Q9NR96
DB04395	targets	P78362
DB08896	targets	P20813
DB03461	targets	Q92506
DB00835	targets	P20309
DB01028	targets	P34903
DB01588	targets	P28476
DB07401	targets	O14949
DB00518	targets	Q71U36
DB02325	targets	P01375
DB04464	targets	P09669
DB08800	targets	P35367
DB04315	targets	P49411
DB01873	targets	P04350
DB00292	targets	P14867
DB00475	targets	P14867
DB00520	targets	P08684
DB00599	targets	Q13002
DB01392	targets	P28335
DB04574	targets	P08684
DB02901	targets	P05108
DB05283	targets	P05177
DB00889	targets	P04798
DB00540	targets	P08684
DB01238	targets	P28221
DB04513	targets	P62158
DB00893	targets	P68871
DB00540	targets	P28335
DB01363	targets	P18825
DB00976	targets	P20815
DB01393	targets	P08684
DB02262	targets	Q02127
DB02281	targets	Q13126
DB01205	targets	P28472
DB08164	targets	P27487
DB07088	targets	P07477
DB06237	targets	O76074
DB01183	targets	P03372
DB01268	targets	P08684
DB08750	targets	P35228
DB00197	targets	Q9HAW7
DB00674	targets	Q9GZZ6
DB03435	targets	Q7Z4J2
DB03783	targets	P11712
DB00763	targets	P11712
DB05249	targets	Q99062
DB02772	targets	P61626
DB06096	targets	P28222
DB06097	targets	Q02224
DB00543	targets	P48169
DB00642	targets	P04818
DB01241	targets	Q07869
DB00554	targets	P35354
DB00126	targets	Q02809
DB01234	targets	P05108
DB06616	targets	P00519
DB00551	targets	P39900
DB01251	targets	Q15842
DB00333	targets	Q8TCU5
DB00641	targets	P11712
DB03892	targets	P29475
DB00321	targets	P20309
DB04444	targets	P11488
DB00949	targets	P05181
DB01018	targets	P08913
DB01782	targets	Q9UQF2
DB00721	targets	Q01959
DB01159	targets	Q6W5P4
DB06927	targets	P03372
DB01151	targets	P31645
DB06917	targets	P09960
DB00470	targets	P11509
DB00490	targets	P24462
DB07162	targets	O60674
DB00408	targets	P47898
DB00741	targets	P04083
DB02379	targets	P01574
DB00637	targets	P35367
DB01087	targets	P08684
DB09068	targets	P08908
DB00163	targets	P09210
DB07157	targets	P15086
DB00073	targets	P12318
DB00361	targets	P10635
DB01094	targets	P05177
DB01173	targets	Q9Y5Y9
DB02325	targets	O60942
DB01466	targets	P24462
DB00340	targets	P08172
DB02494	targets	P84098
DB05216	targets	P10721
DB00162	targets	Q9NYR8
DB00887	targets	P13569
DB02236	targets	P22102
DB01023	targets	Q9NY47
DB02701	targets	Q9NXA8
DB00489	targets	P07550
DB03149	targets	P23946
DB07330	targets	P09874
DB00549	targets	P23219
DB01162	targets	P25100
DB00019	targets	P08246
DB01189	targets	P47869
DB05676	targets	P01579
DB00568	targets	P20309
DB07479	targets	P06746
DB00441	targets	P32320
DB00078	targets	P31994
DB00509	targets	P07202
DB04741	targets	P31930
DB00502	targets	P21728
DB01363	targets	P07550
DB01403	targets	P35368
DB01435	targets	P05181
DB00157	targets	Q15738
DB01565	targets	O60858
DB00364	targets	P02671
DB00898	targets	P17787
DB05472	targets	P17181
DB00418	targets	P14867
DB02079	targets	P21549
DB02701	targets	P10635
DB03039	targets	P00918
DB06875	targets	Q15788
DB01226	targets	P08172
DB00232	targets	P00915
DB02325	targets	P30793
DB00169	targets	P08684
DB05816	targets	P21728
DB07230	targets	Q15788
DB00171	targets	O14727
DB01065	targets	P05177
DB00356	targets	Q12791
DB01277	targets	P17936
DB00599	targets	P48169
DB01727	targets	Q99798
DB07145	targets	P78536
DB08231	targets	P43080
DB00834	targets	P06401
DB01267	targets	P35348
DB00476	targets	P05177
DB00978	targets	P05177
DB00564	targets	P08684
DB03253	targets	P27487
DB08674	targets	P49356
DB02342	targets	P21964
DB00909	targets	O60939
DB00921	targets	P11712
DB00724	targets	Q9NYK1
DB02701	targets	P00338
DB05435	targets	Q5NUL3
DB08342	targets	Q9Y5R8
DB09570	targets	P33261
DB00458	targets	P35367
DB00794	targets	O14764
DB01149	targets	P20815
DB05469	targets	P35368
DB03516	targets	Q06278
DB06692	targets	P17538
DB07410	targets	O95749
DB04512	targets	Q8WX39
DB00361	targets	P08684
DB00201	targets	Q14573
DB00152	targets	O60779
DB01289	targets	Q15842
DB01221	targets	P11712
DB02404	targets	P22303
DB05295	targets	P11473
DB00398	targets	P10635
DB00531	targets	P08684
DB07406	targets	P49137
DB00973	targets	P08684
DB02266	targets	P42330
DB00078	targets	P02746
DB00724	targets	Q9NR97
DB00977	targets	P03372
DB07597	targets	P11086
DB08289	targets	P01834
DB03680	targets	P23368
DB00349	targets	P78334
DB00926	targets	P48443
DB01411	targets	P05113
DB02661	targets	O43252
DB03721	targets	Q9BZZ2
DB07766	targets	Q00536
DB00569	targets	P01008
DB01873	targets	Q13509
DB06216	targets	P34969
DB00831	targets	P05177
DB00095	targets	P02747
DB00849	targets	P42262
DB01752	targets	Q8WTS6
DB06738	targets	O60656
DB01159	targets	P18505
DB00895	targets	P12319
DB05171	targets	Q9NZ42
DB01236	targets	P47869
DB08818	targets	Q96S86
DB02379	targets	P05162
DB00139	targets	O60568
DB01049	targets	O95264
DB02890	targets	P11172
DB00328	targets	P16662
DB04880	targets	Q14432
DB08437	targets	P62917
DB00171	targets	Q9NUB1
DB03535	targets	P48147
DB07374	targets	P40429
DB06064	targets	Q02156
DB00788	targets	P10632
DB06678	targets	P35367
DB07947	targets	P61925
DB08892	targets	O75899
DB00744	targets	P11712
DB01181	targets	P24462
DB00540	targets	P07550
DB00906	targets	P30531
DB00484	targets	P18825
DB00157	targets	P48163
DB07119	targets	Q15788
DB01589	targets	P14867
DB02767	targets	Q9Y6Y9
DB00734	targets	P35348
DB06707	targets	P23975
DB07014	targets	P49841
DB09102	targets	P08684
DB00091	targets	P30405
DB00480	targets	Q96SW2
DB03193	targets	Q9UNK4
DB03147	targets	P47989
DB00546	targets	P34903
DB01009	targets	P35354
DB05461	targets	P41595
DB01173	targets	P08684
DB01095	targets	P05177
DB03907	targets	P21964
DB01435	targets	P11509
DB01059	targets	P08684
DB00692	targets	P08913
DB05920	targets	P11388
DB07232	targets	P09874
DB01370	targets	P02787
DB00696	targets	P35368
DB00589	targets	P14416
DB00248	targets	P08908
DB07744	targets	P29466
DB01136	targets	P08684
DB07254	targets	P54760
DB04195	targets	P11217
DB04316	targets	P15085
DB05694	targets	P30968
DB01058	targets	P05177
DB07080	targets	Q13133
DB06891	targets	P00918
DB00013	targets	Q03405
DB00400	targets	Q99456
DB01048	targets	P22309
DB04946	targets	P14416
DB01392	targets	P10635
DB00753	targets	P18507
DB06697	targets	P20813
DB00413	targets	P21728
DB00780	targets	P20815
DB00818	targets	P34903
DB01231	targets	P11229
DB08491	targets	P03956
DB00989	targets	P10635
DB08231	targets	O43617
DB00898	targets	P30926
DB01645	targets	Q92731
DB01559	targets	A8MPY1
DB01777	targets	Q16613
DB01174	targets	P05181
DB01562	targets	P10635
DB01892	targets	P23219
DB06869	targets	P00734
DB00454	targets	P33261
DB05168	targets	P15328
DB07974	targets	P00742
DB07441	targets	P01857
DB00052	targets	P10912
DB03127	targets	Q92876
DB06969	targets	P07900
DB06854	targets	P00734
DB04905	targets	P10635
DB01221	targets	P11229
DB08325	targets	Q12866
DB00933	targets	P28223
DB00703	targets	P43166
DB01242	targets	P28223
DB04464	targets	P29377
DB08065	targets	O14965
DB05025	targets	P00441
DB00186	targets	Q8N1C3
DB01077	targets	Q13332
DB03791	targets	P55055
DB01118	targets	Q9NY47
DB08097	targets	Q16539
DB00157	targets	P37059
DB01595	targets	Q9UN88
DB00197	targets	P20813
DB00148	targets	P17540
DB07274	targets	P35968
DB00619	targets	P23219
DB00988	targets	P11712
DB07737	targets	P56817
DB00142	targets	Q9Y646
DB04251	targets	P06276
DB00408	targets	P08588
DB01104	targets	P33261
DB01361	targets	P11712
DB01345	targets	P05023
DB06756	targets	P06276
DB06980	targets	P63208
DB00436	targets	P22748
DB03267	targets	P35558
DB05115	targets	P06213
DB01165	targets	P05177
DB00470	targets	P33261
DB00725	targets	P08172
DB01238	targets	P24462
DB08148	targets	P61925
DB03935	targets	P08758
DB01118	targets	P11509
DB08042	targets	P35968
DB00783	targets	P03372
DB08018	targets	P29475
DB01551	targets	P08684
DB01054	targets	P20815
DB00325	targets	P04798
DB01185	targets	P10275
DB04922	targets	P54289
DB00898	targets	P42262
DB06616	targets	P07948
DB00112	targets	P02746
DB00458	targets	P50406
DB00197	targets	P11474
DB04132	targets	Q04760
DB00377	targets	P08684
DB06204	targets	P33261
DB00334	targets	Q9H3N8
DB01708	targets	P18505
DB05014	targets	P09619
DB02910	targets	P42126
DB00528	targets	P08684
DB00228	targets	Q99928
DB05470	targets	P05231
DB00413	targets	P21917
DB03814	targets	Q9Y468
DB06292	targets	P11712
DB00073	targets	P08637
DB00584	targets	P08684
DB07299	targets	P03951
DB00543	targets	P20309
DB04845	targets	P08684
DB06228	targets	P51589
DB00009	targets	P02671
DB00997	targets	O75489
DB01591	targets	P08912
DB01437	targets	P18505
DB08912	targets	P15056
DB00997	targets	O75306
DB04216	targets	Q6NUS8
DB05075	targets	P35916
DB07763	targets	P07919
DB01267	targets	P28223
DB05311	targets	P03952
DB00710	targets	P14324
DB02562	targets	P00439
DB04476	targets	P80188
DB00514	targets	P36544
DB00334	targets	P13945
DB00157	targets	P00367
DB02696	targets	P15291
DB00342	targets	P51589
DB00641	targets	P16662
DB06825	targets	P30968
DB06204	targets	P10635
DB04953	targets	O43525
DB05812	targets	P08684
DB00126	targets	Q9NVH6
DB00514	targets	P17787
DB01186	targets	P35348
DB00904	targets	P11712
DB00408	targets	P20309
DB01807	targets	Q16539
DB08322	targets	P11217
DB03982	targets	P18031
DB00042	targets	P23763
DB00145	targets	Q14330
DB07712	targets	P03372
DB08907	targets	P13866
DB07529	targets	P24941
DB03070	targets	P12268
DB00916	targets	Q16850
DB00700	targets	P08684
DB05455	targets	P47901
DB01065	targets	Q92753
DB00917	targets	P11511
DB00999	targets	P00915
DB00532	targets	P11712
DB02490	targets	P06732
DB00139	targets	O14756
DB06741	targets	Q8TCU5
DB06603	targets	Q9BY41
DB08918	targets	P33261
DB00758	targets	P05177
DB00837	targets	Q9UBS5
DB01631	targets	P80188
DB01159	targets	Q12791
DB02691	targets	P51161
DB01234	targets	P10635
DB03147	targets	Q9UHQ9
DB00463	targets	Q13002
DB00036	targets	P38435
DB00311	targets	P00918
DB00711	targets	P09917
DB00726	targets	P35368
DB01791	targets	Q08493
DB01359	targets	P08588
DB00334	targets	P28221
DB00363	targets	P18825
DB07456	targets	O15530
DB00398	targets	P36888
DB00412	targets	P37231
DB01026	targets	P05108
DB01238	targets	P46098
DB08403	targets	P22894
DB07530	targets	Q15788
DB00637	targets	P08684
DB00132	targets	O95864
DB00542	targets	P42898
DB00818	targets	P10632
DB06419	targets	P20815
DB00268	targets	P21918
DB00368	targets	P07550
DB01015	targets	P11712
DB00363	targets	P11509
DB00799	targets	P10276
DB00250	targets	P08684
DB00613	targets	P11712
DB03080	targets	P07900
DB00987	targets	P32321
DB01283	targets	P35354
DB06637	targets	Q16322
DB01325	targets	P00915
DB02518	targets	P15121
DB04912	targets	P09601
DB00364	targets	P01133
DB04419	targets	P01270
DB01033	targets	Q06203
DB03670	targets	P18031
DB01204	targets	P05181
DB00363	targets	P14416
DB00445	targets	O14646
DB07471	targets	P24941
DB04653	targets	P07384
DB00334	targets	P11229
DB07106	targets	P50135
DB00039	targets	P21802
DB00192	targets	Q14524
DB00201	targets	O00408
DB06637	targets	Q9NSA2
DB01221	targets	Q8TCU5
DB00611	targets	P41145
DB07598	targets	P42262
DB03814	targets	P04424
DB00250	targets	P23219
DB00343	targets	Q06432
DB00111	targets	P31995
DB07048	targets	P00918
DB00162	targets	Q6NUM9
DB00241	targets	P34903
DB00687	targets	P04150
DB01884	targets	P27487
DB00114	targets	Q6WRI0
DB00586	targets	P09917
DB03159	targets	P07477
DB01418	targets	Q9BQB6
DB07793	targets	P11217
DB01183	targets	P41143
DB01028	targets	P11509
DB00683	targets	P18505
DB08755	targets	P25774
DB04906	targets	Q96LZ3
DB00370	targets	P07550
DB00571	targets	P10635
DB01026	targets	P15538
DB00499	targets	Q16678
DB00139	targets	P53597
DB05387	targets	P39900
DB00188	targets	P11712
DB00988	targets	P21397
DB05194	targets	P15509
DB03509	targets	P09874
DB02067	targets	P34896
DB00829	targets	P33260
DB00145	targets	P23434
DB07749	targets	P17538
DB00768	targets	Q99584
DB08119	targets	P17538
DB07905	targets	P28482
DB08873	targets	P08684
DB00801	targets	P48169
DB00421	targets	P10632
DB01388	targets	Q02641
DB02692	targets	P29474
DB00171	targets	P12235
DB00773	targets	P35354
DB00811	targets	P20839
DB03247	targets	Q9NVS9
DB06655	targets	P43220
DB00972	targets	P11712
DB04021	targets	P22303
DB06853	targets	P00734
DB03672	targets	P06276
DB00920	targets	Q13946
DB00977	targets	O75469
DB05804	targets	P35354
DB00114	targets	Q9Y697
DB00237	targets	Q9UN88
DB00836	targets	P35372
DB01156	targets	P20813
DB03880	targets	Q9UKQ2
DB01201	targets	P24462
DB01601	targets	P08684
DB00246	targets	P08173
DB01497	targets	P41143
DB02407	targets	P24941
DB00852	targets	P15336
DB03374	targets	P61925
DB05900	targets	P08069
DB00363	targets	P35367
DB05467	targets	P13631
DB06282	targets	P08684
DB00157	targets	P51970
DB00943	targets	P08684
DB02010	targets	P43403
DB00270	targets	Q9NY47
DB00683	targets	P34903
DB00349	targets	P31644
DB02322	targets	P13501
DB05921	targets	Q13547
DB00690	targets	Q9UN88
DB01039	targets	P10632
DB02158	targets	Q13126
DB00753	targets	P18505
DB01015	targets	P23219
DB04560	targets	P13716
DB01558	targets	Q8N1C3
DB00321	targets	P35348
DB06713	targets	P06401
DB01174	targets	P11509
DB01275	targets	P08684
DB06413	targets	P05177
DB01109	targets	P00742
DB00412	targets	P10632
DB01049	targets	Q9UN88
DB00177	targets	P11712
DB01245	targets	Q15822
DB03194	targets	P11226
DB00290	targets	P49916
DB00466	targets	P24046
DB04137	targets	P00367
DB01046	targets	P16152
DB01283	targets	P33261
DB00157	targets	P03923
DB00458	targets	P08172
DB00116	targets	O95954
DB02701	targets	P05181
DB01014	targets	P35354
DB00408	targets	P08913
DB08848	targets	P48065
DB01159	targets	Q12879
DB00175	targets	P04035
DB00306	targets	Q9UN88
DB05023	targets	P08069
DB05301	targets	P29466
DB00780	targets	P24298
DB01373	targets	P49747
DB04141	targets	P22695
DB00338	targets	P33260
DB03732	targets	Q10588
DB00818	targets	P33260
DB01205	targets	P34903
DB04325	targets	P07477
DB07102	targets	P09960
DB00690	targets	P78334
DB00713	targets	Q16348
DB00432	targets	P19971
DB00393	targets	P08235
DB01215	targets	A8MPY1
DB00091	targets	P24462
DB01043	targets	P20813
DB00968	targets	P20711
DB02953	targets	P22894
DB06372	targets	P18510
DB00756	targets	O14521
DB00850	targets	P05177
DB00988	targets	P27338
DB01646	targets	P08100
DB00606	targets	P22748
DB00543	targets	P18505
DB01241	targets	P33261
DB09068	targets	P10632
DB01392	targets	P08908
DB01200	targets	P08684
DB07537	targets	P35968
DB00946	targets	P10632
DB00233	targets	P05164
DB07359	targets	P35557
DB08687	targets	Q16665
DB01497	targets	O60858
DB00172	targets	Q99884
DB03596	targets	P00918
DB00311	targets	P22748
DB01149	targets	P24462
DB08897	targets	P08912
DB08846	targets	P00915
DB00142	targets	P00367
DB01915	targets	P01024
DB00349	targets	P28472
DB06741	targets	Q12879
DB04855	targets	P18089
DB06712	targets	P10632
DB01288	targets	P13945
DB00758	targets	P33261
DB00514	targets	P20815
DB04552	targets	P47712
DB08437	targets	Q96L21
DB00620	targets	P06276
DB00151	targets	P49589
DB00114	targets	Q8TD30
DB00289	targets	P31645
DB00904	targets	P08908
DB08149	targets	P17612
DB06616	targets	Q13555
DB03878	targets	P00519
DB00010	targets	Q02643
DB06678	targets	P41595
DB08901	targets	P06239
DB00186	targets	P31644
DB00475	targets	P28472
DB02742	targets	Q9UKM7
DB00734	targets	P24462
DB01110	targets	P05177
DB00798	targets	P98164
DB00276	targets	Q12809
DB00612	targets	P07550
DB09016	targets	P28223
DB01116	targets	Q9GZZ6
DB07508	targets	P00734
DB00813	targets	P41143
DB04001	targets	P18031
DB00801	targets	Q9UN88
DB00788	targets	P22309
DB01577	targets	P21397
DB07067	targets	P27487
DB00871	targets	P06276
DB07519	targets	P56817
DB00582	targets	P20815
DB00092	targets	P31995
DB00143	targets	O43708
DB06694	targets	P25100
DB00030	targets	P07339
DB00849	targets	P47869
DB00228	targets	P18507
DB07037	targets	O14757
DB00814	targets	P23219
DB00898	targets	P48549
DB01791	targets	Q07343
DB00328	targets	P23219
DB05676	targets	Q08499
DB02340	targets	P00488
DB00002	targets	O75015
DB00675	targets	P05129
DB03773	targets	P04746
DB00546	targets	P33261
DB00343	targets	P08684
DB00898	targets	O95264
DB05849	targets	P07550
DB00960	targets	P08908
DB07678	targets	P03372
DB08231	targets	O00206
DB06726	targets	P08588
DB01035	targets	P06276
DB01254	targets	P12931
DB07444	targets	P53355
DB02741	targets	P13631
DB01049	targets	P47869
DB01169	targets	Q16678
DB04829	targets	P08908
DB00690	targets	Q8N1C3
DB00188	targets	O14818
DB01649	targets	Q96C86
DB01119	targets	P00915
DB00917	targets	P43116
DB05146	targets	P35968
DB00119	targets	P36021
DB04896	targets	P23975
DB01129	targets	P04798
DB00186	targets	P47869
DB01742	targets	P62937
DB04786	targets	P23945
DB02670	targets	O60264
DB01049	targets	Q8WXA8
DB01902	targets	Q86YB8
DB04272	targets	O75390
DB01281	targets	P33681
DB00813	targets	P20815
DB00022	targets	P17181
DB01337	targets	P06276
DB07350	targets	Q9BY41
DB01192	targets	P08684
DB07533	targets	P20248
DB00005	targets	P31995
DB00370	targets	P23975
DB03010	targets	Q71U36
DB05429	targets	P51671
DB08916	targets	P04626
DB00703	targets	P10635
DB00157	targets	P16083
DB06716	targets	P47870
DB00393	targets	O00305
DB01946	targets	O15530
DB06741	targets	P11712
DB00988	targets	P35462
DB00075	targets	P09693
DB00334	targets	P07550
DB00142	targets	Q99259
DB06148	targets	P25100
DB01156	targets	P10635
DB00655	targets	Q16678
DB00786	targets	P45452
DB01587	targets	P08684
DB08020	targets	Q92731
DB06957	targets	P07900
DB00531	targets	P10635
DB00909	targets	Q8N1Q1
DB00210	targets	P10826
DB00411	targets	P11229
DB01173	targets	O60391
DB00464	targets	P07225
DB00762	targets	O00748
DB02974	targets	P20813
DB09043	targets	P43220
DB06693	targets	P04035
DB06237	targets	P08684
DB00193	targets	P41143
DB00836	targets	P10635
DB00939	targets	O43525
DB01577	targets	P31645
DB06729	targets	P11509
DB00912	targets	P08684
DB08263	targets	Q9NWT6
DB06692	targets	P00747
DB00852	targets	Q8WYK2
DB08629	targets	P25705
DB08923	targets	P19235
DB00031	targets	P05121
DB00144	targets	Q9NXE4
DB01028	targets	P10635
DB01064	targets	P08588
DB07991	targets	P03372
DB01410	targets	P10635
DB01656	targets	Q08493
DB03404	targets	P02144
DB00983	targets	P33261
DB00503	targets	P20815
DB04076	targets	P00491
DB00851	targets	P04798
DB00200	targets	Q8IVH4
DB00604	targets	P20815
DB01177	targets	P11712
DB04464	targets	P14854
DB00131	targets	P11309
DB00246	targets	P34969
DB01038	targets	P14416
DB08781	targets	O14757
DB00182	targets	P35368
DB00972	targets	P20815
DB00942	targets	P11229
DB04982	targets	P42261
